neighbourhood;room_type;price;number_of_reviews
Brooklyn;Entire home/apt;160;11
Brooklyn;Entire home/apt;195;240
Manhattan;Entire home/apt;195;30
Brooklyn;Private room;80;200
Brooklyn;Private room;44;27
Manhattan;Private room;156;79
Brooklyn;Private room;85;9
Brooklyn;Private room;125;155
Brooklyn;Entire home/apt;115;4
Manhattan;Private room;69;34
Manhattan;Entire home/apt;225;134
Brooklyn;Entire home/apt;125;27
Manhattan;Entire home/apt;219;126
Brooklyn;Entire home/apt;475;23
Manhattan;Entire home/apt;99;234
Brooklyn;Private room;69;202
Queens;Private room;79;28
Brooklyn;Entire home/apt;135;309
Brooklyn;Private room;250;14
Manhattan;Entire home/apt;250;4
Brooklyn;Entire home/apt;250;80
Manhattan;Entire home/apt;80;2
Brooklyn;Private room;70;294
Brooklyn;Entire home/apt;165;150
Staten Island;Private room;70;166
Brooklyn;Private room;50;47
Bronx;Private room;40;219
Brooklyn;Entire home/apt;150;193
Manhattan;Private room;125;84
Manhattan;Entire home/apt;196;114
Brooklyn;Private room;110;213
Manhattan;Entire home/apt;170;86
Manhattan;Entire home/apt;165;80
Manhattan;Entire home/apt;150;38
Manhattan;Entire home/apt;100;18
Brooklyn;Private room;65;206
Queens;Entire home/apt;350;10
Manhattan;Private room;99;122
Brooklyn;Entire home/apt;200;33
Brooklyn;Entire home/apt;150;52
Brooklyn;Private room;90;126
Brooklyn;Private room;120;51
Manhattan;Private room;75;199
Brooklyn;Entire home/apt;175;30
Manhattan;Entire home/apt;125;3
Manhattan;Entire home/apt;275;41
Manhattan;Entire home/apt;299;109
Brooklyn;Entire home/apt;135;151
Manhattan;Private room;130;0
Manhattan;Private room;83;285
Manhattan;Private room;123;375
Queens;Private room;55;52
Manhattan;Entire home/apt;195;10
Brooklyn;Private room;80;11
Queens;Entire home/apt;98;33
Queens;Private room;140;6
Queens;Entire home/apt;265;38
Brooklyn;Entire home/apt;249;358
Manhattan;Shared room;105;10
Manhattan;Private room;200;0
Brooklyn;Private room;100;226
Manhattan;Entire home/apt;121;104
Bronx;Private room;45;138
Manhattan;Private room;100;204
Brooklyn;Entire home/apt;140;253
Brooklyn;Private room;71;23
Manhattan;Private room;130;115
Manhattan;Entire home/apt;199;129
Brooklyn;Private room;69;82
Brooklyn;Private room;68;37
Manhattan;Entire home/apt;130;204
Brooklyn;Entire home/apt;195;69
Manhattan;Private room;64;192
Queens;Entire home/apt;140;17
Brooklyn;Entire home/apt;159;222
Manhattan;Entire home/apt;189;205
Manhattan;Entire home/apt;250;94
Manhattan;Entire home/apt;239;7
Manhattan;Entire home/apt;305;108
Manhattan;Entire home/apt;155;222
Manhattan;Private room;60;458
Brooklyn;Private room;135;21
Manhattan;Private room;120;17
Manhattan;Entire home/apt;150;41
Queens;Entire home/apt;140;1
Brooklyn;Entire home/apt;135;69
Manhattan;Entire home/apt;250;18
Manhattan;Entire home/apt;250;82
Manhattan;Entire home/apt;500;94
Manhattan;Entire home/apt;225;10
Manhattan;Entire home/apt;125;183
Manhattan;Private room;92;189
Manhattan;Private room;175;1
Manhattan;Entire home/apt;99;127
Manhattan;Entire home/apt;195;4
Manhattan;Entire home/apt;140;135
Manhattan;Entire home/apt;135;21
Manhattan;Entire home/apt;500;35
Manhattan;Private room;80;10
Manhattan;Private room;120;171
Manhattan;Entire home/apt;110;92
Brooklyn;Entire home/apt;65;238
Manhattan;Entire home/apt;130;56
Brooklyn;Entire home/apt;99;111
Staten Island;Private room;36;193
Staten Island;Private room;37;147
Staten Island;Private room;37;177
Manhattan;Entire home/apt;175;185
Manhattan;Entire home/apt;205;62
Brooklyn;Entire home/apt;285;124
Brooklyn;Private room;59;181
Staten Island;Private room;36;333
Queens;Entire home/apt;99;441
Brooklyn;Private room;39;45
Brooklyn;Private room;60;9
Bronx;Private room;90;0
Bronx;Entire home/apt;105;38
Brooklyn;Entire home/apt;135;248
Manhattan;Entire home/apt;390;143
Brooklyn;Private room;70;36
Manhattan;Private room;75;0
Brooklyn;Private room;60;14
Manhattan;Entire home/apt;200;0
Brooklyn;Private room;100;279
Brooklyn;Private room;70;18
Brooklyn;Private room;110;50
Brooklyn;Private room;60;227
Manhattan;Entire home/apt;90;1
Manhattan;Private room;68;203
Manhattan;Entire home/apt;115;210
Brooklyn;Private room;75;64
Brooklyn;Private room;60;0
Manhattan;Entire home/apt;129;5
Brooklyn;Entire home/apt;130;49
Brooklyn;Entire home/apt;95;132
Manhattan;Private room;75;20
Brooklyn;Entire home/apt;175;11
Brooklyn;Entire home/apt;190;51
Brooklyn;Private room;49;15
Manhattan;Entire home/apt;212;67
Manhattan;Private room;95;109
Brooklyn;Entire home/apt;140;9
Manhattan;Entire home/apt;135;187
Brooklyn;Entire home/apt;150;214
Brooklyn;Entire home/apt;190;69
Manhattan;Entire home/apt;124;22
Brooklyn;Entire home/apt;135;56
Manhattan;Private room;122;93
Manhattan;Private room;109;104
Manhattan;Private room;85;64
Brooklyn;Entire home/apt;145;127
Manhattan;Entire home/apt;195;30
Brooklyn;Entire home/apt;250;106
Brooklyn;Private room;125;6
Manhattan;Entire home/apt;575;191
Manhattan;Entire home/apt;150;48
Brooklyn;Private room;70;47
Manhattan;Private room;90;120
Manhattan;Private room;65;52
Manhattan;Entire home/apt;500;48
Manhattan;Entire home/apt;250;32
Manhattan;Entire home/apt;125;43
Manhattan;Entire home/apt;200;39
Brooklyn;Entire home/apt;229;50
Bronx;Entire home/apt;90;4
Manhattan;Entire home/apt;110;38
Brooklyn;Private room;59;29
Brooklyn;Entire home/apt;195;59
Brooklyn;Entire home/apt;169;68
Manhattan;Entire home/apt;113;26
Manhattan;Entire home/apt;250;31
Queens;Entire home/apt;115;198
Brooklyn;Private room;55;1
Brooklyn;Private room;69;220
Manhattan;Entire home/apt;150;286
Brooklyn;Entire home/apt;169;398
Brooklyn;Private room;179;36
Manhattan;Private room;150;36
Brooklyn;Entire home/apt;135;6
Brooklyn;Entire home/apt;350;14
Brooklyn;Private room;120;76
Manhattan;Private room;71;182
Brooklyn;Private room;349;8
Brooklyn;Private room;349;7
Brooklyn;Entire home/apt;165;34
Brooklyn;Private room;249;2
Brooklyn;Private room;100;66
Brooklyn;Entire home/apt;200;80
Manhattan;Entire home/apt;169;240
Brooklyn;Entire home/apt;185;46
Brooklyn;Entire home/apt;65;228
Brooklyn;Entire home/apt;130;5
Brooklyn;Entire home/apt;199;8
Manhattan;Entire home/apt;225;33
Brooklyn;Private room;179;13
Brooklyn;Entire home/apt;150;5
Manhattan;Entire home/apt;139;388
Manhattan;Private room;95;223
Brooklyn;Entire home/apt;79;11
Manhattan;Entire home/apt;150;151
Brooklyn;Entire home/apt;650;0
Brooklyn;Entire home/apt;90;218
Brooklyn;Entire home/apt;120;75
Queens;Private room;80;42
Brooklyn;Entire home/apt;100;0
Brooklyn;Entire home/apt;175;370
Brooklyn;Entire home/apt;120;104
Brooklyn;Entire home/apt;140;13
Brooklyn;Entire home/apt;200;4
Brooklyn;Private room;165;11
Manhattan;Entire home/apt;125;1
Manhattan;Entire home/apt;130;19
Manhattan;Shared room;65;131
Brooklyn;Entire home/apt;123;15
Manhattan;Private room;67;136
Queens;Private room;50;43
Brooklyn;Entire home/apt;130;98
Brooklyn;Private room;100;31
Manhattan;Entire home/apt;212;45
Brooklyn;Entire home/apt;190;124
Brooklyn;Private room;599;9
Manhattan;Entire home/apt;249;166
Queens;Private room;70;13
Brooklyn;Entire home/apt;100;15
Manhattan;Private room;60;380
Brooklyn;Entire home/apt;135;86
Brooklyn;Entire home/apt;175;248
Manhattan;Entire home/apt;120;49
Manhattan;Entire home/apt;169;54
Brooklyn;Entire home/apt;165;3
Manhattan;Private room;90;1
Manhattan;Entire home/apt;225;56
Brooklyn;Private room;95;163
Brooklyn;Private room;55;247
Manhattan;Private room;85;116
Brooklyn;Entire home/apt;199;27
Manhattan;Entire home/apt;211;52
Manhattan;Entire home/apt;145;39
Manhattan;Private room;65;35
Manhattan;Entire home/apt;99;320
Queens;Entire home/apt;110;30
Brooklyn;Entire home/apt;80;225
Brooklyn;Entire home/apt;150;95
Brooklyn;Entire home/apt;110;70
Manhattan;Private room;290;35
Manhattan;Private room;87;0
Brooklyn;Entire home/apt;190;50
Brooklyn;Entire home/apt;200;29
Brooklyn;Entire home/apt;165;23
Manhattan;Entire home/apt;110;142
Manhattan;Entire home/apt;395;70
Brooklyn;Private room;99;38
Brooklyn;Private room;39;82
Manhattan;Entire home/apt;189;403
Manhattan;Private room;85;3
Brooklyn;Entire home/apt;260;3
Manhattan;Entire home/apt;122;116
Brooklyn;Entire home/apt;165;175
Queens;Entire home/apt;97;28
Manhattan;Entire home/apt;170;24
Brooklyn;Entire home/apt;125;15
Manhattan;Private room;130;105
Brooklyn;Entire home/apt;225;22
Brooklyn;Private room;50;263
Brooklyn;Entire home/apt;170;86
Manhattan;Entire home/apt;132;10
Brooklyn;Entire home/apt;250;18
Brooklyn;Entire home/apt;141;8
Brooklyn;Entire home/apt;64;70
Brooklyn;Entire home/apt;249;150
Brooklyn;Private room;79;115
Manhattan;Entire home/apt;185;69
Brooklyn;Entire home/apt;120;232
Brooklyn;Entire home/apt;495;35
Manhattan;Entire home/apt;375;18
Manhattan;Entire home/apt;175;68
Manhattan;Entire home/apt;150;22
Manhattan;Entire home/apt;259;17
Manhattan;Private room;96;34
Brooklyn;Entire home/apt;145;8
Manhattan;Entire home/apt;200;0
Manhattan;Entire home/apt;95;2
Brooklyn;Entire home/apt;250;52
Manhattan;Entire home/apt;295;74
Manhattan;Entire home/apt;175;18
Brooklyn;Entire home/apt;451;72
Manhattan;Entire home/apt;165;191
Manhattan;Entire home/apt;250;0
Bronx;Entire home/apt;77;197
Manhattan;Entire home/apt;250;19
Queens;Entire home/apt;129;414
Brooklyn;Private room;98;8
Brooklyn;Entire home/apt;150;0
Manhattan;Private room;95;25
Manhattan;Private room;55;119
Manhattan;Entire home/apt;300;203
Queens;Private room;42;53
Brooklyn;Entire home/apt;125;104
Manhattan;Private room;175;175
Manhattan;Private room;75;38
Brooklyn;Entire home/apt;255;39
Brooklyn;Entire home/apt;72;88
Brooklyn;Private room;165;27
Brooklyn;Entire home/apt;165;117
Brooklyn;Private room;75;43
Brooklyn;Entire home/apt;130;4
Brooklyn;Entire home/apt;139;385
Brooklyn;Private room;88;64
Brooklyn;Private room;80;39
Manhattan;Private room;150;37
Manhattan;Entire home/apt;200;10
Manhattan;Entire home/apt;200;103
Queens;Private room;42;41
Brooklyn;Private room;90;3
Manhattan;Entire home/apt;295;227
Brooklyn;Entire home/apt;450;37
Brooklyn;Entire home/apt;130;29
Brooklyn;Private room;89;205
Manhattan;Entire home/apt;198;42
Manhattan;Entire home/apt;99;280
Brooklyn;Private room;46;86
Manhattan;Private room;140;54
Brooklyn;Entire home/apt;500;7
Manhattan;Private room;75;57
Queens;Private room;33;31
Manhattan;Entire home/apt;250;188
Brooklyn;Private room;60;480
Manhattan;Private room;75;34
Brooklyn;Entire home/apt;350;6
Manhattan;Entire home/apt;205;3
Brooklyn;Entire home/apt;219;2
Brooklyn;Private room;60;20
Manhattan;Entire home/apt;185;129
Manhattan;Entire home/apt;190;147
Brooklyn;Entire home/apt;105;101
Manhattan;Entire home/apt;250;11
Manhattan;Entire home/apt;175;11
Manhattan;Private room;65;41
Brooklyn;Entire home/apt;75;87
Bronx;Private room;37;117
Brooklyn;Entire home/apt;85;86
Brooklyn;Entire home/apt;106;0
Manhattan;Entire home/apt;79;15
Brooklyn;Private room;85;35
Manhattan;Private room;170;17
Manhattan;Private room;115;3
Manhattan;Private room;89;43
Manhattan;Shared room;49;168
Brooklyn;Private room;91;241
Manhattan;Entire home/apt;400;105
Brooklyn;Entire home/apt;150;11
Manhattan;Entire home/apt;2000;30
Brooklyn;Entire home/apt;97;31
Manhattan;Private room;100;49
Brooklyn;Entire home/apt;179;23
Brooklyn;Entire home/apt;500;20
Manhattan;Entire home/apt;429;18
Manhattan;Entire home/apt;189;90
Manhattan;Private room;120;99
Manhattan;Entire home/apt;300;6
Queens;Entire home/apt;107;21
Queens;Entire home/apt;95;24
Manhattan;Entire home/apt;199;111
Manhattan;Entire home/apt;120;86
Manhattan;Entire home/apt;199;66
Bronx;Entire home/apt;125;271
Brooklyn;Private room;70;227
Brooklyn;Private room;75;80
Manhattan;Private room;100;5
Brooklyn;Entire home/apt;99;187
Manhattan;Entire home/apt;250;2
Brooklyn;Entire home/apt;350;1
Brooklyn;Entire home/apt;170;67
Manhattan;Entire home/apt;165;63
Manhattan;Private room;99;89
Manhattan;Private room;255;1
Brooklyn;Entire home/apt;169;177
Brooklyn;Entire home/apt;99;90
Manhattan;Entire home/apt;169;39
Brooklyn;Entire home/apt;160;42
Brooklyn;Entire home/apt;215;33
Brooklyn;Entire home/apt;130;179
Manhattan;Private room;110;81
Manhattan;Private room;150;43
Brooklyn;Private room;65;52
Queens;Private room;75;160
Manhattan;Entire home/apt;149;23
Manhattan;Private room;89;35
Manhattan;Private room;50;225
Brooklyn;Private room;43;401
Brooklyn;Private room;42;72
Brooklyn;Private room;85;46
Brooklyn;Entire home/apt;139;83
Brooklyn;Private room;105;211
Brooklyn;Entire home/apt;265;15
Manhattan;Entire home/apt;149;122
Manhattan;Private room;68;295
Brooklyn;Entire home/apt;99;207
Manhattan;Private room;75;50
Brooklyn;Private room;100;273
Manhattan;Shared room;90;0
Manhattan;Entire home/apt;160;25
Brooklyn;Entire home/apt;190;105
Brooklyn;Private room;67;72
Manhattan;Entire home/apt;190;8
Brooklyn;Entire home/apt;248;58
Brooklyn;Private room;100;8
Manhattan;Private room;95;172
Manhattan;Private room;150;330
Brooklyn;Entire home/apt;145;123
Brooklyn;Private room;41;55
Brooklyn;Entire home/apt;120;87
Bronx;Private room;50;258
Brooklyn;Entire home/apt;157;4
Brooklyn;Entire home/apt;195;31
Brooklyn;Entire home/apt;70;128
Brooklyn;Entire home/apt;185;14
Brooklyn;Entire home/apt;145;30
Queens;Private room;50;258
Brooklyn;Entire home/apt;185;228
Manhattan;Entire home/apt;250;60
Manhattan;Private room;80;9
Manhattan;Entire home/apt;230;179
Brooklyn;Entire home/apt;100;9
Brooklyn;Private room;40;1
Manhattan;Private room;200;25
Staten Island;Private room;80;2
Brooklyn;Private room;79;152
Queens;Entire home/apt;95;24
Manhattan;Entire home/apt;300;45
Brooklyn;Entire home/apt;100;7
Manhattan;Private room;80;19
Brooklyn;Entire home/apt;110;24
Brooklyn;Entire home/apt;172;8
Manhattan;Entire home/apt;199;29
Manhattan;Entire home/apt;199;14
Manhattan;Private room;100;33
Manhattan;Private room;55;99
Brooklyn;Private room;75;59
Manhattan;Entire home/apt;146;142
Manhattan;Private room;250;0
Brooklyn;Entire home/apt;116;22
Manhattan;Private room;150;82
Brooklyn;Private room;120;23
Manhattan;Entire home/apt;199;32
Brooklyn;Entire home/apt;150;24
Manhattan;Private room;69;59
Manhattan;Private room;300;6
Brooklyn;Entire home/apt;230;18
Manhattan;Entire home/apt;125;3
Brooklyn;Private room;79;115
Brooklyn;Private room;130;154
Brooklyn;Private room;239;164
Staten Island;Entire home/apt;75;76
Brooklyn;Entire home/apt;220;116
Brooklyn;Entire home/apt;80;234
Manhattan;Entire home/apt;288;120
Brooklyn;Entire home/apt;135;82
Manhattan;Entire home/apt;225;13
Manhattan;Private room;110;59
Brooklyn;Entire home/apt;100;63
Manhattan;Private room;130;52
Manhattan;Private room;89;278
Brooklyn;Entire home/apt;200;1
Brooklyn;Entire home/apt;80;35
Bronx;Private room;50;235
Manhattan;Entire home/apt;135;115
Manhattan;Private room;90;109
Manhattan;Private room;270;1
Brooklyn;Entire home/apt;110;305
Manhattan;Entire home/apt;145;102
Manhattan;Entire home/apt;179;83
Queens;Private room;55;19
Manhattan;Private room;110;61
Manhattan;Entire home/apt;325;89
Queens;Private room;75;65
Brooklyn;Entire home/apt;300;40
Manhattan;Private room;130;80
Manhattan;Entire home/apt;190;136
Manhattan;Entire home/apt;200;100
Brooklyn;Entire home/apt;180;125
Brooklyn;Entire home/apt;350;40
Manhattan;Entire home/apt;160;0
Manhattan;Entire home/apt;195;139
Manhattan;Entire home/apt;241;0
Manhattan;Entire home/apt;300;2
Queens;Entire home/apt;75;49
Manhattan;Entire home/apt;100;8
Manhattan;Entire home/apt;399;0
Brooklyn;Private room;85;124
Brooklyn;Entire home/apt;80;5
Brooklyn;Private room;55;147
Brooklyn;Private room;438;43
Brooklyn;Entire home/apt;110;8
Manhattan;Entire home/apt;200;37
Brooklyn;Private room;279;120
Brooklyn;Entire home/apt;137;24
Brooklyn;Entire home/apt;280;5
Brooklyn;Entire home/apt;199;242
Manhattan;Private room;71;229
Bronx;Private room;42;108
Brooklyn;Entire home/apt;180;181
Manhattan;Entire home/apt;226;34
Brooklyn;Private room;85;5
Manhattan;Entire home/apt;135;5
Queens;Entire home/apt;79;60
Manhattan;Entire home/apt;154;238
Brooklyn;Entire home/apt;199;34
Manhattan;Entire home/apt;700;131
Manhattan;Entire home/apt;246;6
Manhattan;Private room;125;4
Brooklyn;Private room;100;7
Brooklyn;Entire home/apt;295;125
Brooklyn;Private room;150;0
Manhattan;Entire home/apt;119;49
Manhattan;Private room;125;11
Manhattan;Entire home/apt;400;0
Manhattan;Entire home/apt;850;107
Brooklyn;Private room;129;241
Manhattan;Private room;140;176
Manhattan;Private room;115;151
Manhattan;Entire home/apt;200;49
Brooklyn;Entire home/apt;96;13
Brooklyn;Entire home/apt;199;33
Brooklyn;Entire home/apt;199;24
Brooklyn;Entire home/apt;199;59
Brooklyn;Private room;69;2
Manhattan;Entire home/apt;185;16
Manhattan;Private room;81;72
Brooklyn;Entire home/apt;199;24
Brooklyn;Entire home/apt;199;23
Brooklyn;Entire home/apt;199;43
Brooklyn;Entire home/apt;199;30
Brooklyn;Entire home/apt;199;39
Brooklyn;Private room;349;8
Brooklyn;Private room;249;3
Brooklyn;Private room;299;6
Brooklyn;Private room;179;4
Queens;Private room;54;56
Brooklyn;Private room;599;7
Brooklyn;Entire home/apt;110;2
Brooklyn;Entire home/apt;220;178
;;;
Williamsburg;89;30;
Brooklyn;Entire home/apt;170;190
Manhattan;Entire home/apt;495;25
Queens;Entire home/apt;80;81
Manhattan;Entire home/apt;760;7
Brooklyn;Private room;98;216
Brooklyn;Entire home/apt;125;31
Brooklyn;Private room;48;53
Brooklyn;Private room;64;247
Brooklyn;Entire home/apt;154;233
Brooklyn;Entire home/apt;139;135
Queens;Private room;75;20
Manhattan;Entire home/apt;325;46
Manhattan;Entire home/apt;195;10
Manhattan;Private room;58;143
Staten Island;Entire home/apt;250;21
Staten Island;Private room;50;0
Staten Island;Entire home/apt;125;8
Brooklyn;Entire home/apt;70;4
Manhattan;Entire home/apt;189;314
Brooklyn;Entire home/apt;130;18
Manhattan;Entire home/apt;145;11
Manhattan;Private room;101;51
Manhattan;Private room;95;20
Manhattan;Entire home/apt;375;8
Manhattan;Entire home/apt;153;59
Brooklyn;Entire home/apt;92;54
Manhattan;Private room;80;10
Manhattan;Entire home/apt;300;153
Brooklyn;Entire home/apt;145;110
Manhattan;Private room;88;69
Manhattan;Entire home/apt;155;1
Brooklyn;Entire home/apt;185;24
Queens;Private room;73;95
Manhattan;Entire home/apt;225;129
Manhattan;Private room;85;171
Brooklyn;Private room;99;20
Brooklyn;Private room;48;17
Manhattan;Entire home/apt;200;8
Manhattan;Entire home/apt;485;11
Manhattan;Entire home/apt;310;5
Brooklyn;Entire home/apt;110;0
Manhattan;Entire home/apt;109;36
Manhattan;Entire home/apt;167;16
Brooklyn;Entire home/apt;147;5
Manhattan;Entire home/apt;220;0
Manhattan;Entire home/apt;195;68
Manhattan;Entire home/apt;199;89
Manhattan;Private room;65;10
Queens;Private room;55;38
Bronx;Private room;50;15
Brooklyn;Private room;60;20
;;;
East Harlem;99;3;
Manhattan;Entire home/apt;130;35
Brooklyn;Entire home/apt;290;1
Manhattan;Entire home/apt;350;64
Brooklyn;Private room;50;26
Queens;Private room;96;244
Brooklyn;Private room;45;21
Queens;Private room;85;270
Brooklyn;Private room;34;16
Manhattan;Entire home/apt;250;24
Brooklyn;Private room;190;30
Brooklyn;Private room;75;5
Brooklyn;Entire home/apt;93;115
Brooklyn;Private room;60;9
Brooklyn;Private room;65;45
Manhattan;Entire home/apt;125;19
Manhattan;Entire home/apt;300;5
Manhattan;Entire home/apt;150;203
Manhattan;Entire home/apt;56;20
Manhattan;Entire home/apt;299;49
Brooklyn;Private room;60;6
Brooklyn;Entire home/apt;88;7
Brooklyn;Private room;60;35
Manhattan;Entire home/apt;1300;28
Manhattan;Private room;200;0
Manhattan;Private room;99;54
Brooklyn;Entire home/apt;110;115
Brooklyn;Entire home/apt;135;6
Manhattan;Entire home/apt;110;1
Brooklyn;Entire home/apt;165;204
Brooklyn;Entire home/apt;127;1
Brooklyn;Entire home/apt;402;89
Manhattan;Private room;85;130
Brooklyn;Private room;75;15
Manhattan;Entire home/apt;139;52
Brooklyn;Entire home/apt;70;58
Manhattan;Private room;50;208
Queens;Private room;30;3
Manhattan;Entire home/apt;250;7
Brooklyn;Private room;64;1
Manhattan;Entire home/apt;300;2
Brooklyn;Entire home/apt;800;122
Brooklyn;Entire home/apt;100;63
Brooklyn;Entire home/apt;250;26
Manhattan;Entire home/apt;200;1
Brooklyn;Entire home/apt;140;14
Manhattan;Private room;130;107
Brooklyn;Entire home/apt;90;3
Manhattan;Entire home/apt;90;107
Brooklyn;Private room;97;29
Brooklyn;Entire home/apt;91;69
Brooklyn;Private room;125;232
Brooklyn;Private room;75;0
Manhattan;Entire home/apt;180;24
Brooklyn;Entire home/apt;300;0
Brooklyn;Entire home/apt;100;5
Manhattan;Entire home/apt;175;10
Brooklyn;Private room;65;36
Manhattan;Entire home/apt;240;94
Manhattan;Private room;300;1
Manhattan;Entire home/apt;385;63
Brooklyn;Private room;47;5
Brooklyn;Entire home/apt;110;238
Manhattan;Private room;75;101
Brooklyn;Entire home/apt;100;21
Manhattan;Entire home/apt;165;72
Brooklyn;Entire home/apt;300;40
Brooklyn;Entire home/apt;140;103
Brooklyn;Entire home/apt;120;66
Brooklyn;Entire home/apt;175;35
Brooklyn;Entire home/apt;275;121
Manhattan;Entire home/apt;179;15
Brooklyn;Entire home/apt;189;13
Manhattan;Entire home/apt;219;129
Manhattan;Entire home/apt;450;157
Manhattan;Entire home/apt;249;8
Queens;Private room;65;5
Brooklyn;Entire home/apt;250;46
Manhattan;Entire home/apt;139;37
Manhattan;Entire home/apt;209;14
Brooklyn;Entire home/apt;120;37
Queens;Entire home/apt;70;1
Manhattan;Private room;90;209
Manhattan;Entire home/apt;199;4
Brooklyn;Private room;50;17
Brooklyn;Entire home/apt;100;0
Manhattan;Entire home/apt;110;0
Brooklyn;Entire home/apt;157;54
Brooklyn;Entire home/apt;199;43
Queens;Entire home/apt;192;7
Brooklyn;Entire home/apt;199;75
Manhattan;Entire home/apt;150;88
Brooklyn;Entire home/apt;199;73
